hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
Resort Hotel,0,276,2017,July,30,24,3,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,140.38,0,2,Check-Out,2017-08-01,Keith Lopez,Keith_L@zoho.com,294-010-6408,************6779
Resort Hotel,0,3,2017,February,6,9,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,36.96,0,1,Check-Out,2017-02-11,Tyler Foster,TFoster73@zoho.com,884-623-3989,************3964
Resort Hotel,0,133,2016,August,32,4,3,8,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient-Party,216.66,0,0,Check-Out,2016-08-15,Ricky Massey,RMassey@xfinity.com,619-725-6372,************4642
City Hotel,1,444,2016,December,49,1,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,34.0,,39,Transient,75.0,0,0,Canceled,2015-10-23,Robert Lawson,Robert.Lawson@yandex.com,272-097-3955,************9870
City Hotel,1,35,2016,March,10,2,0,2,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,100.1,0,1,Canceled,2016-02-09,Christopher Richardson,ChristopherRichardson28@zoho.com,209-348-8682,************4868
City Hotel,1,72,2016,March,13,26,1,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,96.0,0,0,Canceled,2016-02-09,Andre Osborne,Andre_O@yahoo.com,920-276-5010,************6895
City Hotel,1,76,2017,May,18,6,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,135.0,0,0,Canceled,2017-03-04,Jennifer Mcbride,Jennifer.Mcbride@mail.com,366-283-6765,************4335
Resort Hotel,0,113,2016,April,18,28,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40.0,,0,Contract,86.38,0,0,Check-Out,2016-05-05,Erin Baker,Erin_B@att.com,264-896-8261,************6722
City Hotel,1,281,2016,April,16,14,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21,Natalie Cunningham,Cunningham.Natalie@xfinity.com,743-829-2011,************8954
City Hotel,1,71,2016,June,25,14,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,236.0,,0,Transient,120.0,0,0,Canceled,2016-04-27,Samuel Lynch,SamuelLynch@gmail.com,386-087-3860,************3690
City Hotel,0,5,2017,June,24,11,2,0,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,2,No Deposit,10.0,,0,Group,12.0,0,1,Check-Out,2017-06-13,Daniel Thomas,DanielThomas81@verizon.com,551-001-1438,************1939
City Hotel,1,139,2016,July,29,16,4,9,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,131.36,0,0,Canceled,2016-04-07,Matthew Rodriguez,Matthew.Rodriguez@gmail.com,818-858-5705,************9356
City Hotel,0,1,2015,September,39,24,0,1,2,2.0,0,BB,UKR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Contract,215.0,0,2,Check-Out,2015-09-25,Francisco Kelly,FKelly@yandex.com,304-251-8350,************6508
Resort Hotel,0,0,2016,June,25,12,1,0,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,131.0,1,0,Check-Out,2016-06-13,Natalie Armstrong,Armstrong_Natalie@verizon.com,322-324-5317,************8546
City Hotel,1,1,2016,November,47,18,6,12,1,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,77.44,0,1,No-Show,2016-11-18,Catherine Obrien,CatherineObrien@xfinity.com,635-363-1648,************9463
City Hotel,1,405,2016,August,33,10,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,65.0,0,0,Canceled,2015-12-09,Andrea Velez,Velez_Andrea@gmail.com,191-709-1569,************4867
City Hotel,1,120,2016,May,23,31,2,7,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,109.65,0,1,No-Show,2016-05-31,Lisa Gamble,Lisa.Gamble@outlook.com,474-300-3857,************2792
Resort Hotel,0,31,2016,October,45,30,2,3,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,62.88,1,1,Check-Out,2016-11-04,Theodore Gregory,TheodoreGregory@mail.com,824-252-0028,************1952
City Hotel,0,15,2016,December,50,7,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,106.33,0,0,Check-Out,2016-12-10,Henry Higgins,Henry_Higgins@outlook.com,287-691-3281,************9782
City Hotel,0,16,2015,October,44,29,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,135.0,1,1,Check-Out,2015-10-30,Michael Martinez,Michael.Martinez90@yandex.com,137-624-0041,************2387
Resort Hotel,0,73,2016,December,51,17,3,6,2,0.0,0,HB,RUS,Direct,Direct,0,0,0,D,D,1,No Deposit,,,0,Transient,80.2,0,0,Check-Out,2016-12-26,Monique Schultz,MSchultz24@zoho.com,391-981-6149,************4723
Resort Hotel,0,40,2016,March,13,23,1,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,60.21,0,1,Check-Out,2016-03-28,Brandon Skinner,Skinner_Brandon54@aol.com,112-740-5108,************7539
City Hotel,0,4,2017,January,4,27,1,2,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,57.06,0,0,Check-Out,2017-01-30,Kristin Perry,Perry_Kristin75@mail.com,527-849-6905,************2174
City Hotel,0,74,2016,August,33,12,0,2,1,0.0,0,BB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient-Party,107.1,0,0,Check-Out,2016-08-14,Jeremy Curtis,JeremyCurtis94@xfinity.com,428-513-1495,************2918
City Hotel,0,34,2017,January,3,18,0,1,1,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,19.0,,0,Transient-Party,75.0,0,0,Check-Out,2017-01-19,Julie Jones,Julie.Jones@aol.com,933-052-0037,************8059
City Hotel,0,7,2016,November,47,14,1,2,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,111.0,0,1,Check-Out,2016-11-17,Taylor Beck,Taylor_B84@gmail.com,401-521-1984,************4069
City Hotel,1,317,2016,September,38,15,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,120.0,0,0,Canceled,2016-02-09,Julie Skinner,Skinner_Julie@yahoo.com,338-381-1421,************8336
City Hotel,1,164,2017,May,20,15,1,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,160.0,0,0,Canceled,2017-01-31,David Whitaker,Whitaker_David30@protonmail.com,181-747-7344,************5509
Resort Hotel,1,49,2017,June,22,2,0,2,2,1.0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,187.0,0,1,Canceled,2017-04-21,Steven Kaufman,Kaufman.Steven@verizon.com,977-651-5260,************8932
Resort Hotel,0,251,2017,June,26,26,1,3,2,0.0,0,HB,CN,Groups,TA/TO,0,0,0,D,F,0,No Deposit,96.0,,0,Transient-Party,108.0,0,1,Check-Out,2017-06-30,Jason Shields,Shields_Jason@aol.com,864-294-6977,************1650
City Hotel,0,9,2016,February,9,26,1,2,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,64.03,0,1,Check-Out,2016-02-29,Brandi Holmes,Holmes.Brandi86@xfinity.com,759-634-8324,************3310
City Hotel,0,251,2017,May,21,27,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,125.1,0,1,Check-Out,2017-06-01,Maria Smith,Maria_S@hotmail.com,862-361-2747,************2576
City Hotel,1,221,2015,October,40,3,2,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,86.0,0,0,Canceled,2015-07-09,Jamie Jensen,Jamie.J@gmail.com,517-198-9860,************5497
Resort Hotel,0,57,2016,April,15,7,2,4,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,,0,Transient,39.1,0,0,Check-Out,2016-04-13,Thomas Davis,Thomas.D@att.com,259-149-1149,************1802
City Hotel,1,233,2016,October,42,14,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,90.0,0,0,Canceled,2016-08-17,Justin Berry,Justin.Berry@zoho.com,762-363-1700,************9644
City Hotel,1,337,2016,June,24,9,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21,Mallory Garcia,Mallory.G@gmail.com,107-582-2903,************7867
Resort Hotel,0,0,2016,November,47,15,0,1,1,0.0,0,BB,PRT,Corporate,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,41.0,1,0,Check-Out,2016-11-16,John Jones,John.J@zoho.com,728-746-7368,************2080
City Hotel,0,6,2016,March,11,8,0,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,91.0,0,1,Check-Out,2016-03-11,Ana Morris,Ana_Morris@comcast.net,246-787-2406,************7563
Resort Hotel,0,51,2015,October,40,1,2,3,1,1.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,74.4,0,0,Check-Out,2015-10-06,Shirley Holland,Holland.Shirley@outlook.com,966-244-4435,************3777
Resort Hotel,1,170,2016,September,38,16,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,171.0,,0,Transient,76.0,0,0,Canceled,2016-06-07,Diana Ramos,DianaRamos@comcast.net,389-307-6761,************2902
Resort Hotel,1,4,2017,June,23,6,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Transient,151.0,0,0,Canceled,2017-06-05,Gregory Reynolds,Gregory_R@zoho.com,905-899-5503,************4029
City Hotel,0,59,2016,October,42,9,2,1,2,1.0,0,BB,ISR,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,118.0,,0,Transient,100.0,0,0,Check-Out,2016-10-12,Robert King,King_Robert50@mail.com,679-716-9121,************7857
City Hotel,0,1,2015,August,36,30,2,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,114.0,0,0,Check-Out,2015-09-03,Steven Acevedo,Steven_A@comcast.net,868-433-3969,************9965
City Hotel,1,115,2016,March,13,20,2,0,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,41.0,,22,Transient,70.0,0,0,Canceled,2015-12-18,Shelby Benton,SBenton70@verizon.com,238-545-4082,************1538
City Hotel,0,33,2016,October,44,25,0,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,138.0,1,2,Check-Out,2016-10-30,Rachel Murray,Murray.Rachel@mail.com,369-762-5729,************9521
Resort Hotel,1,44,2015,December,49,5,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient-Party,70.0,0,0,Canceled,2015-11-30,Mr. Leslie Burch,Mr..Burch62@protonmail.com,410-023-6893,************6750
City Hotel,1,186,2017,May,22,30,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,130.0,0,0,Canceled,2016-11-25,Levi Dunn,Dunn_Levi@outlook.com,552-222-7510,************8400
City Hotel,0,28,2016,September,39,18,2,0,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,149.0,0,1,Check-Out,2016-09-20,Jackie Brown,Brown.Jackie37@hotmail.com,177-113-9307,************8888
Resort Hotel,1,107,2017,May,21,22,1,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,117.0,0,0,Canceled,2017-04-06,Wayne Alvarez,WAlvarez@yandex.com,303-039-4789,************3175
City Hotel,0,83,2016,May,19,7,2,2,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient-Party,124.65,0,1,Check-Out,2016-05-11,Mary Barry,MBarry25@verizon.com,994-211-4755,************8003
Resort Hotel,0,21,2015,July,28,10,1,2,2,0.0,0,BB,AUS,Direct,Direct,0,0,0,A,C,0,No Deposit,250.0,,0,Transient,98.0,0,1,Check-Out,2015-07-13,Joshua Sullivan,Joshua_Sullivan@comcast.net,151-760-5294,************5389
City Hotel,0,33,2015,October,40,1,0,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Group,79.35,0,1,Check-Out,2015-10-03,Jessica White,White_Jessica@comcast.net,909-290-3313,************9228
City Hotel,0,11,2017,January,3,21,2,5,3,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,147.9,0,2,Check-Out,2017-01-28,Andrew Dixon II,Andrew.I@yahoo.com,252-626-2067,************4867
Resort Hotel,0,4,2016,April,18,30,1,1,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,6.0,,0,Transient,58.0,1,3,Check-Out,2016-05-02,Angel Ferguson,Angel.F@xfinity.com,432-550-7903,************4690
City Hotel,1,57,2016,April,15,5,0,4,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,130.05,0,0,Canceled,2016-03-14,John Thomas II,JII@protonmail.com,708-318-8649,************6687
City Hotel,0,3,2015,December,51,19,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,80.0,0,0,Check-Out,2015-12-22,Connie Briggs,CBriggs@mail.com,132-990-9203,************3198
City Hotel,0,176,2016,July,31,28,2,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.45,1,1,Check-Out,2016-08-03,Tammy Bailey,Bailey_Tammy37@protonmail.com,866-088-8706,************6334
City Hotel,0,2,2016,March,14,28,1,0,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,89.0,,0,Transient,64.08,0,0,Check-Out,2016-03-29,Monica Richards,Monica_Richards69@protonmail.com,708-964-4101,************9984
City Hotel,1,15,2017,August,32,7,1,3,2,0.0,0,BB,NLD,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,175.0,0,0,Canceled,2017-07-28,Heather Herman,Heather_H53@att.com,124-555-8942,************3318
Resort Hotel,0,1,2017,July,28,9,1,0,2,0.0,0,BB,ESP,Direct,TA/TO,0,0,0,A,C,0,No Deposit,,,0,Transient,100.0,0,1,Check-Out,2017-07-10,Lisa Smith,Smith.Lisa91@verizon.com,599-172-6002,************2633
City Hotel,1,87,2016,October,42,10,1,3,2,1.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.0,0,1,Canceled,2016-08-26,Donald Zimmerman,Donald_Zimmerman@protonmail.com,935-881-3847,************3593
Resort Hotel,0,3,2015,October,44,29,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240.0,,0,Transient,48.0,0,2,Check-Out,2015-11-01,Michael Juarez,MJuarez@yandex.com,395-423-3053,************8194
Resort Hotel,0,1,2015,August,34,22,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,G,0,No Deposit,240.0,,0,Transient,204.0,1,0,Check-Out,2015-08-23,Frank Cole,Frank_C@yandex.com,960-123-4604,************2330
City Hotel,0,27,2016,October,44,29,2,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,110.0,0,1,Check-Out,2016-11-01,John Franklin,JFranklin@outlook.com,499-865-2678,************9224
Resort Hotel,1,3,2016,February,6,1,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,D,0,No Deposit,,286.0,0,Transient-Party,39.0,0,0,Canceled,2016-02-01,Heather Jenkins,Heather.J29@yahoo.com,745-535-2262,************5451
City Hotel,0,154,2016,August,33,7,2,3,3,0.0,0,BB,GBR,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,145.6,0,1,Check-Out,2016-08-12,Jennifer Thompson,Thompson_Jennifer@zoho.com,634-779-7954,************6732
Resort Hotel,1,9,2016,May,21,15,1,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,315.0,,0,Transient-Party,70.0,0,0,Canceled,2016-05-06,Devin Perkins II,II.Devin86@outlook.com,695-031-3112,************9259
Resort Hotel,0,1,2016,November,45,4,0,1,1,0.0,0,BB,,Direct,Direct,0,0,2,A,D,0,No Deposit,,51.0,0,Transient,48.0,1,0,Check-Out,2016-11-05,Patricia Moody,PMoody@outlook.com,503-148-6402,************8365
Resort Hotel,0,0,2016,February,9,23,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,43.0,0,1,Check-Out,2016-02-24,Patricia Stephens,PStephens46@mail.com,509-428-0536,************9099
City Hotel,0,14,2017,February,9,28,0,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22.0,,0,Transient,80.0,0,1,Check-Out,2017-03-03,Lindsey Maldonado,LindseyMaldonado37@hotmail.com,225-101-6190,************4258
Resort Hotel,0,1,2016,January,5,26,0,1,1,0.0,0,BB,PRT,Direct,Direct,1,0,3,A,D,0,No Deposit,,,0,Transient,39.0,0,0,Check-Out,2016-01-27,Craig Johnson,Johnson.Craig@mail.com,724-981-7171,************3513
City Hotel,1,145,2016,January,2,3,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,85,Transient,65.0,0,0,Canceled,2015-11-04,Meghan Garza,Meghan_Garza@comcast.net,447-054-3815,************5676
City Hotel,0,22,2016,September,40,26,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,94.86,0,1,Check-Out,2016-09-30,Raymond Young,Raymond_Young62@protonmail.com,964-469-5355,************4058
City Hotel,0,6,2015,August,34,20,2,4,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,98.0,0,1,Check-Out,2015-08-26,Karen Miller,Miller.Karen@att.com,191-679-4622,************4888
City Hotel,0,154,2016,August,35,24,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,95.4,0,0,Check-Out,2016-08-26,Robert Barron,Barron.Robert@xfinity.com,182-471-4413,************7499
Resort Hotel,0,26,2015,August,35,29,2,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156.0,,0,Contract,85.88,0,0,Check-Out,2015-09-03,Joshua Richard,Joshua_R@yandex.com,125-059-2623,************9507
City Hotel,0,44,2017,April,16,20,1,3,1,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,6.0,,0,Transient-Party,75.0,0,0,Check-Out,2017-04-24,Christina Ross,Ross.Christina@yahoo.com,468-751-8670,************4696
City Hotel,1,31,2016,August,36,28,2,1,3,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9.0,,0,Transient,218.0,0,0,Canceled,2016-08-10,Bobby Gilmore,Bobby_G@gmail.com,702-607-0725,************3381
City Hotel,1,69,2017,April,14,6,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,,197.0,0,Transient,85.0,0,0,Canceled,2017-01-27,Traci Williams,Traci_W@protonmail.com,619-367-7838,************5999
City Hotel,0,143,2016,August,35,25,0,3,2,0.0,0,BB,CZE,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,36.0,,0,Transient-Party,100.0,0,0,Check-Out,2016-08-28,Cynthia Ware,Cynthia.Ware@gmail.com,891-710-0092,************8847
City Hotel,0,1,2016,July,28,6,0,4,2,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,168.5,0,0,Check-Out,2016-07-10,Robert Perez,Robert.Perez@aol.com,903-952-1885,************2671
City Hotel,1,199,2017,July,28,13,0,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,156.6,0,0,Canceled,2016-12-26,Carol Brown,Carol.B79@comcast.net,889-970-3042,************7076
City Hotel,0,7,2016,March,13,23,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,148.0,0,0,Check-Out,2016-03-26,Charles Berry,Charles.Berry@xfinity.com,948-335-1775,************9395
City Hotel,1,305,2016,October,40,1,1,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,35.0,,17,Transient,100.0,0,0,Canceled,2015-12-18,Christina Mccormick,Mccormick.Christina@hotmail.com,165-215-1072,************3029
Resort Hotel,0,1,2017,May,22,30,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,3,A,A,0,No Deposit,,269.0,0,Transient,45.0,0,0,Check-Out,2017-05-31,Christie Morton,Morton_Christie84@hotmail.com,405-575-8186,************5580
City Hotel,0,6,2016,February,8,15,1,2,1,0.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,138.0,,0,Transient,63.0,0,0,Check-Out,2016-02-18,Carolyn Thomas,CThomas27@outlook.com,861-280-2003,************4758
City Hotel,1,38,2016,February,9,25,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,179.0,0,Transient,79.0,0,0,Canceled,2016-02-08,Mathew Orozco,MathewOrozco@protonmail.com,410-816-9725,************8069
City Hotel,0,12,2015,August,34,16,2,3,3,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,27.0,,0,Transient,68.8,0,0,Check-Out,2015-08-21,Mary Ewing,Mary_E@mail.com,785-672-1139,************7666
City Hotel,0,32,2016,October,41,6,0,2,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,157.5,0,2,Check-Out,2016-10-08,Anthony Garcia,AnthonyGarcia@mail.com,416-085-3958,************1662
City Hotel,1,130,2015,August,31,1,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,76.5,0,1,Canceled,2015-07-07,Jerome Mitchell,Jerome.Mitchell@mail.com,155-416-5975,************5292
City Hotel,0,179,2017,May,20,14,2,2,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,116.33,0,1,Check-Out,2017-05-18,Randall Bonilla,Randall.Bonilla@aol.com,294-843-0987,************7716
